ID,Latitude,Longitude,Type
717176,34.072082,-117.94475,ML
717178,34.071756,-117.946332,FR
717179,34.072075,-117.943345,ML
717183,34.072549,-117.935381,FR
717184,34.0723,-117.927358,FR
717185,34.0723,-117.927358,ML
717187,34.072468,-117.92737,ML
717189,34.072274,-117.924923,FR
717190,34.072274,-117.924923,ML
717191,34.072452,-117.925803,FR
717192,34.072452,-117.925803,ML
717194,34.072101,-117.908205,FR
717195,34.072101,-117.908205,ML
717196,34.072264,-117.909076,ML
717198,34.072082,-117.906392,ML
717199,34.072249,-117.907159,FR
717200,34.072247,-117.90702,ML
717202,34.072105,-117.891295,ML
717204,34.071905,-117.89269,FR
717205,34.071847,-117.888507,ML
717206,34.072087,-117.889726,FR
717207,34.072087,-117.889726,ML
717209,34.072029,-117.882752,ML
717211,34.072002,-117.880137,ML
717212,34.071814,-117.87979,FR
717213,34.07172,-117.872992,FR
717214,34.07172,-117.872992,ML
717215,34.071952,-117.87456,FR
717216,34.071952,-117.87456,ML
717218,34.070451,-117.86513,FR
717219,34.070451,-117.86513,ML
717220,34.071035,-117.865957,ML
717223,34.069889,-117.863523,FR
717224,34.069889,-117.863523,ML
717225,34.069037,-117.841455,FR
717226,34.069037,-117.841455,ML
717234,34.0639,-117.814349,FR
717235,34.0639,-117.814349,ML
717236,34.063698,-117.814269,ML
717238,34.067625,-117.801715,ML
717239,34.072518,-117.789858,FR
717240,34.072518,-117.789858,ML
717241,34.072803,-117.785705,ML
717242,34.072839,-117.779264,FR
717243,34.072839,-117.779264,ML
717245,34.071938,-117.769749,ML
717246,34.071029,-117.761475,ML
717247,34.070843,-117.76148,ML
717249,34.073286,-117.753978,ML
717251,34.075604,-117.74786,ML
717252,34.077146,-117.744573,ML
717254,34.079138,-117.739234,ML
717257,34.081545,-117.727932,ML
717258,34.081821,-117.721638,ML
717260,34.081722,-117.71693,ML
717262,34.02902,-118.216326,ML
717263,34.029648,-118.199219,ML
717264,34.029608,-118.198629,ML
717265,34.03154,-118.190445,ML
717266,34.031713,-118.190515,ML
717267,34.032146,-118.183387,FR
717268,34.032146,-118.183387,ML
717269,34.032661,-118.182471,ML
717270,34.034977,-118.174866,ML
717272,34.035723,-118.151516,FR
717273,34.035723,-118.151516,ML
717274,34.035886,-118.151414,ML
717276,34.034655,-118.148653,FR
717277,34.034655,-118.148653,ML
717279,34.034219,-118.148257,ML
717281,34.033066,-118.141975,ML
717282,34.03582,-118.095997,ML
717284,34.035853,-118.093489,FR
717285,34.035853,-118.093489,ML
717287,34.036302,-118.092399,FR
717288,34.036302,-118.092399,ML
717290,34.036512,-118.090626,ML
717292,34.039225,-118.081093,ML
717293,34.039747,-118.080226,FR
717294,34.039747,-118.080226,ML
717295,34.041248,-118.067752,FR
717296,34.041255,-118.065153,ML
717297,34.041418,-118.066377,FR
717298,34.041418,-118.066377,ML
717299,34.041414,-118.06376,FR
717300,34.041414,-118.06376,ML
717301,34.041213,-118.062543,ML
717302,34.039962,-118.05362,FR
717303,34.039962,-118.05362,ML
717306,34.040308,-118.054105,ML
717308,34.03958,-118.051399,ML
717311,34.037428,-118.039136,FR
717312,34.037428,-118.039136,ML
717314,34.037619,-118.038699,FR
717315,34.037619,-118.038699,ML
717316,34.035073,-118.029281,ML
717318,34.02896,-118.012462,ML
717319,34.029247,-118.008439,FR
717320,34.029247,-118.008439,ML
717321,34.007035,-117.965011,FR
717322,34.007035,-117.965011,ML
717324,34.00782,-117.967088,ML
717326,34.006822,-117.963815,FR
717328,34.00598,-117.961572,ML
717330,33.997875,-117.934513,ML
717331,33.996934,-117.931728,FR
