ID,Latitude,Longitude,Type
715898,33.880183,-118.02178700000002,ML
715900,33.882892,-118.026822,OR
715901,33.8834,-118.027451,OR
715903,33.886992,-118.034125,OR
715904,33.892489000000005,-118.044573,OR
715905,33.894587,-118.048098,OR
715906,33.900669,-118.059422,OR
715907,33.903960999999995,-118.064046,OR
715908,33.911074,-118.071686,OR
715910,33.913564,-118.075867,OR
715911,33.916643,-118.079557,OR
715912,33.917571,-118.080056,OR
715913,33.920763,-118.082501,FR
715918,33.93311,-118.091005,ML
715920,33.938544,-118.094941,ML
715923,33.956897,-118.110532,OR
715924,33.957583,-118.111199,OR
715925,33.958225,-118.11239,OR
715926,33.95891,-118.113036,OR
715927,33.9632,-118.1189,OR
715928,33.963867,-118.11987,OR
715929,33.971707,-118.123095,ML
715930,33.971763,-118.122905,ML
715932,33.97646,-118.125953,OR
715933,33.981839,-118.130679,ML
715935,33.986224,-118.136014,OR
715937,33.994935,-118.14469,OR
715938,34.002541,-118.150997,ML
715941,34.007591999999995,-118.157266,OR
715944,34.013676000000004,-118.166091,ML
715947,34.015325,-118.17127,ML
715949,34.020076,-118.181702,OR
715950,34.020088,-118.189029,OR
715952,34.020961,-118.195456,OR
715953,34.021135,-118.195375,OR
715957,34.029033,-118.217141,OR
715958,34.041407,-118.218373,OR
715959,34.047784,-118.214638,OR
715961,34.057314,-118.214378,OR
715963,34.069368,-118.217386,OR
715964,34.080943,-118.22237,OR
715966,34.083198,-118.22821299999998,OR
715967,34.086881,-118.233611,OR
715968,34.095413,-118.243957,OR
715969,34.094038,-118.242314,OR
715970,34.108429,-118.258982,OR
715971,34.111314,-118.264526,OR
715972,34.120764,-117.88843,OR
715973,34.118291,-118.270166,OR
715974,34.162761,-118.294541,OR
715975,34.163197,-118.29497,OR
715976,34.164088,-118.295568,OR
715977,34.165484,-118.29753,OR
715978,34.167992,-118.301293,OR
715979,34.168963,-118.302648,OR
715980,34.17007,-118.30383700000002,OR
715981,34.170572,-118.30448,OR
715982,34.179879,-118.312407,OR
715983,34.184490999999994,-118.316733,OR
715984,34.186308000000004,-118.319601,OR
715985,34.187037,-118.320656,OR
715986,34.19381,-118.330292,OR
715987,34.193931,-118.330086,OR
715988,34.200877,-118.339185,OR
715989,34.200916,-118.339473,OR
715990,34.211259000000005,-118.347597,OR
715991,34.21272800000001,-118.349041,OR
715992,34.221104,-118.358957,OR
715993,34.221822,-118.364915,OR
715994,34.222169,-118.3673,OR
715995,34.225778000000005,-118.375075,OR
715996,34.243318,-118.42108,ML
715997,34.226376,-118.385923,OR
715998,34.227093,-118.389006,OR
715999,34.226944,-118.389042,OR
716000,34.231047,-118.401401,OR
716001,34.231273,-118.40134,OR
716002,34.23742,-118.414827,OR
716003,34.244193,-118.42168999999998,OR
716004,34.245149,-118.422992,OR
716005,34.246140000000004,-118.423735,OR
716006,34.249183,-118.427257,OR
716007,34.341625,-118.526002,ML
716008,34.358847,-118.554053,OR
716009,34.364506,-118.555784,OR
716010,34.368149,-118.55885,ML
716011,34.378358,-118.565494,OR
716012,34.408287,-118.576071,OR
716013,34.408604,-118.576573,OR
716014,34.420911,-118.582284,OR
716015,34.424267,-118.58367,OR
716016,34.431273,-118.588555,ML
716017,34.43153,-118.588374,ML
716018,34.454192,-118.615941,OR
716019,34.458426,-118.615547,OR
716020,34.495729,-118.623863,OR
716021,34.497131,-118.624674,OR
716023,34.571045,-118.689102,ML
716025,34.709779,-118.796647,OR
716028,34.055167,-118.216535,ML
716029,34.031890999999995,-118.416029,OR
716030,34.031647,-118.41534,OR
716032,34.030891,-118.411427,ML
716033,34.029516,-118.40301399999998,OR
716035,34.031182,-118.390169,OR
716036,34.034310999999995,-118.384884,ML
716038,34.036959,-118.379466,OR
716039,34.036846999999995,-118.379114,OR
716040,34.036314000000004,-118.374796,OR
716041,34.03577,-118.371368,OR
716043,34.034495,-118.366371,OR
716044,34.033989,-118.353882,OR
716045,34.034193,-118.348655,OR
716046,34.03448,-118.348667,OR
716047,34.034363,-118.345701,ML
716050,34.034677,-118.339444,ML
716051,34.035067,-118.331254,FR
716054,34.036614,-118.31917,OR
716055,34.03681,-118.315379,OR
716057,34.036953000000004,-118.313131,ML
716058,34.037281,-118.311045,OR
716059,34.037253,-118.306713,FR
716060,34.036945,-118.306723,OR
716061,34.037222,-118.302221,OR
716063,34.037129,-118.296691,ML
716064,34.037096000000005,-118.294389,OR
716065,34.036796,-118.289266,OR
716066,34.037427,-118.282004,OR
716067,34.054801,-118.211859,ML
716069,34.053806,-118.20821399999998,ML
716071,34.053753,-118.205692,OR
716072,34.054109999999994,-118.203478,ML
716074,34.055448,-118.19888,FR
716075,34.055306,-118.192689,ML
716076,34.055572999999995,-118.192729,ML
716078,34.055285,-118.185874,ML
716081,34.059959,-118.174416,ML
716084,34.061442,-118.167268,ML
716085,34.061918,-118.162504,ML
716086,34.063934,-118.16016299999998,OR
716087,34.065882,-118.155495,ML
716088,34.066326000000004,-118.155441,ML
716089,34.068501,-118.151418,OR
716090,34.069016,-118.149713,OR
716091,34.071793,-118.143409,ML
716092,34.071251000000004,-118.141723,ML
716093,34.071335,-118.135155,OR
716094,34.071644,-118.135158,OR
716095,34.071342,-118.133569,OR
716096,34.071662,-118.133572,OR
716097,34.071438,-118.123947,OR
716098,34.071803,-118.123604,OR
716099,34.071457,-118.122386,OR
716100,34.071819,-118.12203999999998,OR
716101,34.071889,-118.117349,ML
716103,34.071665,-118.10937,OR
716104,34.072021,-118.108838,OR
716105,34.07168,-118.10763500000002,OR
716106,34.072053000000004,-118.107276,OR
716107,34.071731,-118.100852,OR
716108,34.072192,-118.100669,OR
716109,34.071766,-118.098584,OR
716110,34.072118,-118.09858,OR
716111,34.071834,-118.091958,OR
716112,34.072221,-118.091434,OR
716113,34.07186,-118.089866,OR
716114,34.072253,-118.089691,OR
716115,34.071945,-118.082543,OR
716116,34.072342,-118.082856,OR
716117,34.072457,-118.074173,OR
716118,34.072071,-118.074173,OR
716119,34.072494,-118.07208,OR
716120,34.072083,-118.071554,OR
716121,34.072102,-118.06879,OR
716124,34.072661,-118.059491,OR
716126,34.07193400000001,-118.051536,ML
716127,34.069271,-118.044184,OR
716128,34.06847,-118.040429,OR
716129,34.068078,-118.030663,OR
716130,34.067963,-118.027743,OR
716131,34.068199,-118.025926,OR
716132,34.066990000000004,-118.019773,OR
716133,34.063981,-118.008051,OR
716134,34.064175,-118.008013,FR
716135,34.066554,-117.990356,OR
716136,34.067663,-117.981905,OR
716137,34.06769,-117.98013799999998,OR
716138,34.067905,-117.979831,OR
716139,34.069011,-117.971555,OR
716140,34.070282,-117.960307,OR
716141,34.07049,-117.959994,OR
716142,34.117595,-117.844142,ML
716143,34.120911,-117.829234,ML
716144,34.072082,-117.94475,OR
716145,34.072075,-117.943345,OR
716146,34.072549,-117.935381,ML
716148,34.072468,-117.92737,OR
716149,34.0723,-117.927358,OR
